Tipo de estacion;Estacion;Ciudad;Tipo de carga;Horario;Direccion;Estandar Cargador;Ubicacion o sitio web;Coordenadas;Latitud;Longitud;;;
Estacion de carga electrica EPM;Aeropuerto;Rionegro;Rapida;12:00 pm a 11:59pm;Km 1 Glorieta Aeropuerto Jose Maria Cordova, Rionegro;Informacion no disponible;Informacion no disponible;;;;;;
Estacion de carga electrica EPM;Exito Poblado;Medellin;Semi Rapida;8:00 am a 8:00 pm;Calle 10 # 43 E - 135, Medellin;Europeo- Mennekes 22 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.21194987,-75.57404774;6,21194987;-75,57404774;;;
Estacion de carga electrica EPM;Exito Poblado;Medellin;Semi Rapida;8:00 am a 8:00 pm;Calle 10 # 43 E - 135, Medellin;J1772- 7,4 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.21194987,-75.57404774;6,21194987;-75,57404774;;;
Estacion de carga electrica EPM;Exposiciones;Medellin;Rapida;12:00 pm a 11:59 pm;Calle 36 # 53 - 55, Medellin;CHAdeMO- COMBO 1- MENNEKES;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.23747400,-75.57521000;6,237474;-75,57521;;;
Estacion de carga electrica EPM;EDS Texaco Vegas;Envigado;Rapida;12:00 pm a 11:59 pm;Carrera 48 # 30 Sur - 48, Envigado;CHAdeMO- COMBO 1- MENNEKES;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.17900319,-75.58839136;6,17900319;-75,58839136;;;
Estacion de carga electrica EPM;1er Parque Laureles;Medellin;Semi Rapida;12:00 pm a 11:59 pm;Circular 5 # 73 - 15, Medellin;J1772- 7,4 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.24564930,-75.59327930;6,2456493;-75,5932793;;;
Estacion de carga electrica EPM;1er Parque Laureles;Medellin;Semi Rapida;12:00 pm a 11:59 pm;Circular 5 # 73 - 15, Medellin;Europeo- Mennekes 22 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.24564930,-75.59327930;6,2456493;-75,5932793;;;
Estacion de carga electrica EPM;CC Los Molinos;Medellin;Semi Rapida;10:00 am a 10:00 pm;Calle 30 A # 82 A - 26, Medellin;J1772- 7,4 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.23199997,-75.60442682;6,23199997;-75,60442682;;;
Estacion de carga electrica EPM;CC Los Molinos;Medellin;Semi Rapida;10:00 am a 10:00 pm;Calle 30 A # 82 A - 26, Medellin;Europeo- Mennekes 22 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.23199997,-75.60442682;6,23199997;-75,60442682;;;
Estacion de carga electrica EPM;CC Mayorca;Sabaneta;Semi Rapida;10:00 am a 9:00 pm;Calle 51 Sur # 48 - 57, Sabaneta;Europeo- Mennekes 22 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.16070400,-75.60459600;6,160704;-75,604596;;;
